Date,Close/Last,COMP,NATS,MSCI
10/22/2021,9177.47,15090.2,1831.56,4421.57
10/21/2021,9229.08,15215.7,1829.06,4430.4
10/20/2021,9109.33,15121.68,1810.44,4414.93
10/19/2021,9118.54,15129.09,1813.66,4399.18
10/18/2021,9020.87,15021.81,1798.78,4366.71
10/15/2021,8910.62,14897.34,1775.74,4349.97
10/14/2021,8876.33,14823.43,1771.03,4318.91
10/13/2021,8681.94,14571.64,1742.51,4247.09
10/12/2021,8555.16,14465.92,1704.69,4229.25
10/11/2021,8574.08,14486.2,1683.98,4235.81
10/8/2021,8626.6,14579.54,1687.15,4265.03
10/7/2021,8691.96,14654.02,1700.12,4275.13
10/6/2021,8591.08,14501.91,1680.3,4237.53
10/5/2021,8535.95,14433.83,1666.42,4218.64
10/4/2021,8413.37,14255.48,1640.18,4173.83
10/1/2021,8652.14,14566.7,1690.58,4233.19
9/30/2021,8606.64,14448.58,1665.74,4186.85
9/29/2021,8600.46,14512.44,1669.26,4232.45
9/28/2021,8697.6,14546.68,1673.9,4228.38
9/27/2021,9032.04,14969.97,1738.5,4320.56
9/24/2021,9115.73,15047.7,1769.73,4335.96
9/23/2021,9107.76,15052.24,1768.07,4331.37
9/22/2021,9011.24,14896.85,1738.34,4280.95
9/21/2021,8898.14,14746.4,1721.69,4240.31
9/20/2021,8885.12,14713.9,1717.39,4240.98
9/17/2021,9090.14,15043.97,1746.22,4316.42
9/16/2021,9213.78,15181.92,1761.32,4353.84
9/15/2021,9177.52,15161.53,1747.94,4357.88
9/14/2021,9101.39,15037.76,1728.3,4321.73
9/13/2021,9106.37,15105.58,1727.11,4346.42
9/10/2021,9119.42,15115.49,1746.11,4339.19
9/9/2021,9124.3,15248.25,1759.46,4372.99
9/8/2021,9111.59,15286.64,1762.24,4391.71
9/7/2021,9181.52,15374.33,1772.35,4399.66
9/3/2021,9209.93,15363.52,1792.07,4415.24
9/2/2021,9157.98,15331.18,1774.86,4414.64
9/1/2021,9131.82,15309.38,1774.11,4402.09
8/31/2021,9139.07,15259.24,1766.74,4399.11
8/30/2021,9228.96,15265.89,1782.41,4407.37
8/27/2021,9181.58,15129.5,1773.43,4387.76
8/26/2021,9026.65,14945.81,1745.89,4349.21
8/25/2021,9063.6,15041.86,1751.75,4374.71
8/24/2021,9025.84,15019.8,1747.52,4364.41
8/23/2021,8970.53,14942.65,1732.33,4355.39
8/20/2021,8789.64,14714.66,1705.97,4317.09
8/19/2021,8716.82,14541.79,1684.82,4281.33
8/18/2021,8642.46,14525.91,1673.19,4277.64
8/17/2021,8720.57,14656.18,1681.14,4323.32
8/16/2021,8829.44,14793.76,1692.85,4353.46
8/13/2021,8877.38,14822.9,1706.32,4345.6
8/12/2021,8849.59,14816.26,1701.47,4339.15
8/11/2021,8870.9,14765.14,1681.99,4325.92
8/10/2021,8861.85,14788.09,1689.16,4317.34
8/9/2021,8965.95,14860.18,1710.6,4316.02
8/6/2021,8990.16,14835.76,1711.12,4318.44
8/5/2021,9040.84,14895.12,1718.65,4315.67
8/4/2021,9021.82,14780.53,1702.54,4288.99
8/3/2021,8942.27,14761.29,1684.78,4305.38
